[2026-04-14 13:08:33,010][Train_Process.py] Epoch:[90/150]  lr=0.000080  loss=0.45591  dice_e=0.5844 max_dice=0.6627
[2026-04-14 13:13:55,846][Train_Process.py] Epoch:[91/150]  lr=0.000080  loss=0.48838  dice_e=0.5573 max_dice=0.6627
[2026-04-14 13:19:01,021][Train_Process.py] Epoch:[92/150]  lr=0.000080  loss=0.43134  dice_e=0.6071 max_dice=0.6627
[2026-04-14 13:24:12,839][Train_Process.py] Epoch:[93/150]  lr=0.000080  loss=0.44463  dice_e=0.5963 max_dice=0.6627
[2026-04-14 13:29:40,873][Train_Process.py] Epoch:[94/150]  lr=0.000080  loss=0.44323  dice_e=0.5941 max_dice=0.6627
[2026-04-14 13:34:51,158][Train_Process.py] Epoch:[95/150]  lr=0.000080  loss=0.44574  dice_e=0.5986 max_dice=0.6627
[2026-04-14 13:40:19,875][Train_Process.py] Epoch:[96/150]  lr=0.000080  loss=0.41700  dice_e=0.6236 max_dice=0.6627
[2026-04-14 13:45:38,938][Train_Process.py] Epoch:[97/150]  lr=0.000080  loss=0.45222  dice_e=0.5841 max_dice=0.6627
[2026-04-14 13:50:46,351][Train_Process.py] Epoch:[98/150]  lr=0.000080  loss=0.42681  dice_e=0.6258 max_dice=0.6627
[2026-04-14 13:55:59,766][Train_Process.py] Epoch:[99/150]  lr=0.000080  loss=0.46642  dice_e=0.5684 max_dice=0.6627
[2026-04-14 14:15:18,614][Train_Process.py] P135_lower_img.nii.gz dice=0.4744
[2026-04-14 14:15:21,143][Train_Process.py] P136_lower_img.nii.gz dice=0.4347
[2026-04-14 14:15:27,189][Train_Process.py] P137_lower_img.nii.gz dice=0.6827
[2026-04-14 14:15:30,705][Train_Process.py] P138_lower_img.nii.gz dice=0.6144
[2026-04-14 14:15:36,115][Train_Process.py] P139_lower_img.nii.gz dice=0.5143
[2026-04-14 14:15:41,176][Train_Process.py] P140_lower_img.nii.gz dice=0.6104
[2026-04-14 14:15:51,569][Train_Process.py] P141_lower_img.nii.gz dice=0.5853
[2026-04-14 14:15:55,702][Train_Process.py] P142_lower_img.nii.gz dice=0.5587
[2026-04-14 14:16:00,791][Train_Process.py] P143_lower_img.nii.gz dice=0.6117
[2026-04-14 14:16:06,926][Train_Process.py] P144_lower_img.nii.gz dice=0.6842
[2026-04-14 14:16:16,576][Train_Process.py] P145_lower_img.nii.gz dice=0.7159
[2026-04-14 14:16:26,412][Train_Process.py] P146_lower_img.nii.gz dice=0.6650
[2026-04-14 14:16:29,167][Train_Process.py] P147_lower_img.nii.gz dice=0.3538
[2026-04-14 14:16:39,738][Train_Process.py] P148_lower_img.nii.gz dice=0.6837
[2026-04-14 14:16:44,635][Train_Process.py] P149_lower_img.nii.gz dice=0.6436
[2026-04-14 14:16:50,211][Train_Process.py] P150_lower_img.nii.gz dice=0.6747
[2026-04-14 14:16:55,509][Train_Process.py] P151_lower_img.nii.gz dice=0.5374
[2026-04-14 14:17:01,119][Train_Process.py] P152_lower_img.nii.gz dice=0.6528
[2026-04-14 14:17:03,706][Train_Process.py] P153_lower_img.nii.gz dice=0.4940
[2026-04-14 14:17:06,372][Train_Process.py] P154_lower_img.nii.gz dice=0.4748
[2026-04-14 14:17:15,652][Train_Process.py] P155_lower_img.nii.gz dice=0.7152
[2026-04-14 14:17:25,158][Train_Process.py] P156_lower_img.nii.gz dice=0.7357
[2026-04-14 14:17:36,165][Train_Process.py] P157_lower_img.nii.gz dice=0.6957
[2026-04-14 14:17:40,130][Train_Process.py] P158_lower_img.nii.gz dice=0.6100
[2026-04-14 14:17:42,941][Train_Process.py] P159_lower_img.nii.gz dice=0.4711
[2026-04-14 14:17:48,481][Train_Process.py] P160_lower_img.nii.gz dice=0.6822
[2026-04-14 14:17:53,475][Train_Process.py] P161_lower_img.nii.gz dice=0.7022
[2026-04-14 14:17:58,492][Train_Process.py] P162_lower_img.nii.gz dice=0.6678
[2026-04-14 14:18:03,837][Train_Process.py] P163_lower_img.nii.gz dice=0.6961
[2026-04-14 14:18:09,029][Train_Process.py] P164_lower_img.nii.gz dice=0.6913
[2026-04-14 14:18:13,515][Train_Process.py] P165_lower_img.nii.gz dice=0.6009
[2026-04-14 14:18:23,102][Train_Process.py] P166_lower_img.nii.gz dice=0.8027
[2026-04-14 14:18:28,460][Train_Process.py] P167_lower_img.nii.gz dice=0.6683
[2026-04-14 14:18:35,547][Train_Process.py] P168_lower_img.nii.gz dice=0.7151
[2026-04-14 14:18:40,292][Train_Process.py] P169_lower_img.nii.gz dice=0.6320
[2026-04-14 14:18:45,957][Train_Process.py] P170_lower_img.nii.gz dice=0.5017
[2026-04-14 14:18:48,461][Train_Process.py] P171_lower_img.nii.gz dice=0.5570
[2026-04-14 14:18:54,058][Train_Process.py] P172_lower_img.nii.gz dice=0.6569
[2026-04-14 14:18:54,114][Train_Process.py] Epoch:[100/150]  lr=0.000080  loss=0.48431  dice_e=0.5576 max_dice=0.6627
[2026-04-14 14:24:02,067][Train_Process.py] Epoch:[101/150]  lr=0.000080  loss=0.47843  dice_e=0.5554 max_dice=0.6627
[2026-04-14 14:29:22,427][Train_Process.py] Epoch:[102/150]  lr=0.000064  loss=0.42527  dice_e=0.6164 max_dice=0.6627
[2026-04-14 14:34:23,546][Train_Process.py] Epoch:[103/150]  lr=0.000064  loss=0.43610  dice_e=0.5995 max_dice=0.6627
[2026-04-14 14:39:34,892][Train_Process.py] Epoch:[104/150]  lr=0.000064  loss=0.43396  dice_e=0.5989 max_dice=0.6627
[2026-04-14 14:44:48,627][Train_Process.py] Epoch:[105/150]  lr=0.000064  loss=0.42501  dice_e=0.6125 max_dice=0.6627
[2026-04-14 14:50:06,988][Train_Process.py] Epoch:[106/150]  lr=0.000064  loss=0.40654  dice_e=0.6278 max_dice=0.6627
[2026-04-14 14:55:26,159][Train_Process.py] Epoch:[107/150]  lr=0.000064  loss=0.40286  dice_e=0.6282 max_dice=0.6627
[2026-04-14 15:00:29,951][Train_Process.py] Epoch:[108/150]  lr=0.000064  loss=0.40277  dice_e=0.6299 max_dice=0.6627
[2026-04-14 15:06:02,837][Train_Process.py] Epoch:[109/150]  lr=0.000064  loss=0.41745  dice_e=0.6131 max_dice=0.6627
[2026-04-14 15:25:17,325][Train_Process.py] P135_lower_img.nii.gz dice=0.5269
